Parameters,Temporal_Block,Treatment,Time_to_1st_probe_from_start_of_EPG,Number_of_probes_to_the_1st_E1,Number_of_F_,Duration_of_1st_probe,Duration_of_2nd_probe,Duration_of_the_shortest_C_wave_before_E1,Duration_of_the_second_nonprobe_period,Total_duration_of_F_,Duration_of_nonprobe_period_before_the_1st_E,Mean_duration_of_pd,Mean_duration_of_pd-L,Mean_duration_of_pd-S,Average_number_of_pd_per_probe,Mean_duration_of_F,Time_from_start_of_EPG_to_1st_Ey,Time_from_1st_probe_to_1st_Ey,Time_from_the_beginning_of_that_probe_to_1st_Ey_,Number_of_G,Duration_of_G,Mean_duration_of_G,Number_of_probes_after_1st_E,Number_of_probes_(shorter_than_3_minutes)_after_1st_E,Number_of_E1,Number_of_E1_(longer_than_10_minutes)_followed_by_E2,Number_of_single_E1,Number_of_E2,Number_of_sustained_E2_(longer_than_10_minutes),Duration_of_1st_E,Contribution_of_E1_to_phloem_phase_(%),Duration_the_E1_followed_by_first_sustained_E2_(>10_min),Duration_the_E1_followed_by_the_first__E2,Potential_E2_index,Total_duration_of_E,Total_duration_of_E1,Total_duration_of_E1_followed_by_sustained_E2_(>10_min),Total_duration_of_E1_followed_by_E2,Total_duration_of_single_E1,Total_duration_of_E1_followed_by_E2_and_E2,Total_duration_of_E2,Mean_duration_of_E1,Mean_duration_of_E2,Number_of_probes,Number_of_C,Number_of_short_probes_(C<3_minutes),Number_of_np,Number_of_pd,Number_of_pd-L,Number_of_pd-S,Number_of_E1e,Total_duration_of_C,Total_duration_of_E1e,Total_duration_of_no_phloematic_phase,Total_duration_of_np,Total_duration_of_pd,Total_duration_of_pd-L,Total_duration_of_pd-S,Total_probing_time,Mean_duration_of_np,Mean_duration_of_C,Time_to_from_start_of_EPG_1st_sustained_E2_(10_minutes)y,Time_from_1st_probe_to_1st_sustained_E2_(10_minutes)y,Time_from_the_beginning_of_that_probe_to_1st_sustained_E2_(10_minutes)y_,Time_from_start_of_EPG_to_1st_E2y,Time_from_1st_probe_to_1st_E2y,Time_from_the_beginning_of_that_probe_to_1st_E2y,Total_duration_of_np_during_the_1st_hour,Total_duration_of_np_during_the_2nd_hour,Total_duration_of_np_during_the_3rd_hour,Total_duration_of_np_during_the_4th_hour,Total_duration_of_np_during_the_5th_hour,Total_duration_of_np_during_the_6th_hour,Number_of_pd-S_during_the_1st_hour,Number_of_pd-S_during_the_2nd_hour,Number_of_pd-S_during_the_3rd_hour,Number_of_pd-S_during_the_4th_hour,Number_of_pd-S_during_the_5th_hour,Number_of_pd-S_during_the_6th_hour,Average_duration_of_pd-S_during_the_1st_hour,Average_duration_of_pd-S_during_the_2nd_hour,Average_duration_of_pd-S_during_the_3rd_hour,Average_duration_of_pd-S_during_the_4th_hour,Average_duration_of_pd-S_during_the_5th_hour,Average_duration_of_pd-S_during_the_6th_hour,Number_of_F_during_the_1st_hour,Number_of_F_during_the_2nd_hour,Number_of_F_during_the_3rd_hour,Number_of_F_during_the_4th_hour,Number_of_F_during_the_5th_hour,Number_of_F_during_the_6th_hour,Total_duration_of_F_during_the_1st_hour,Total_duration_of_F_during_the_2nd_hour,Total_duration_of_F_during_the_3rd_hour,Total_duration_of_F_during_the_4th_hour,Total_duration_of_F_during_the_5th_hour,Total_duration_of_F_during_the_6th_hour,Number_of_probes_during_the_1st_hour,Number_of_probes_during_the_2nd_hour,Number_of_probes_during_the_3rd_hour,Number_of_probes_during_the_4th_hour,Number_of_probes_during_the_5th_hour,Number_of_probes_during_the_6th_hour,Time_from_the_beginning_of_the_1st_probe_to_first_pd_,Time_from_the_end_of_the_last_pd_to_the_end_of_the_probe,Total_duration_of_subphase_II1_fo_the_pd,Total_duration_of_subphase_II2_fo_the_pd,Total_duration_of_subphase_II3_fo_the_pd,Time_from_the_end_of_the_last_pde_to_the_end_of_the_EPG_record_(Z),Time_from_the_beginning_of_E1_to_the_end_of_the_EPG_record_(Z),Duration_of_the_longest_E2,Duration_of_np_just_after_the_probe_of_the_first_sustained_E2,Duration_of_np_just_after_the_probe_of_the_first_sustained_E2_if_it_lasts_untill_the_end_of_the_recording,%_of_probing_spent_in_C,%_of_probing_spent_in_E1,%_of_probing_spent_in_E2,%_of_probing_spent_in_F,%_of_probing_spent_in_G,%_E2_>10_min
Trial16_Ch7,Spring,Adult,8334.82,2,0,682.04,2192.05,971.14,1080.63,0,9415.45,4.393270742,.,4.393270742,14.3125,.,11068.63,2733.81,971.14,0,0,.,14,7,8,0,2,6,3,99.36,9.166791723,45.96,34.71,30.78287089,5997.3,549.76,217.02,350.13,199.63,5797.67,5447.54,68.72,907.9233333,16,23,7,16,229,0,229,0,12275.34,.,22802.7,10527.36,1006.059,.,1006.059,18272.64,657.96,533.7104348,21011.11,12676.29,1032.66,11103.34,2768.52,1005.85,3600,3600,2215.45,418.21,175.43,518.27,0,0,26,43,62,50,.,.,4.553461538,4.441395349,4.454032258,3.91858,.,.,.,.,.,.,.,.,.,.,.,.,0,0,2,4,4,8,10.77,69.65,.,.,.,305.18,.,2828.53,0,.,67.17879847,3.008651186,29.81255035,0,0,50
Trial18_Ch1,Spring,Control,21.69,6,0,5039.68,211.43,1078.42,39.15,0,235.23,3.971327014,.,3.971327014,21.1,.,7188.79,7167.1,1078.42,1,626.2,626.2,4,0,4,0,0,4,4,1039.96,1.828654597,124.11,124.11,66.54941802,14565.9,266.36,266.36,266.36,0,14565.9,14299.54,66.59,3574.885,10,14,2,10,211,0,211,0,13217.68,.,14234.1,390.22,837.95,.,837.95,28409.78,39.022,944.12,7312.9,7291.21,1202.53,7312.9,7291.21,1202.53,21.69,213.54,78.37,43.57,33.05,0,64,38,37,45,23,4,3.90546875,3.773684211,3.68972973,4.452,3.891304348,4.56,.,.,.,.,.,.,.,.,.,.,.,.,1,6,3,2,2,1,55.63,667.36,.,.,.,8656.09,.,8594.81,39.84,.,46.52510509,0.937564458,50.33315992,0,2.204170536,100
Trial19_Ch4,Spring,Larvae,16269.81,0,0,64.7,2203.13,,1299.88,0,18841.29,4.533636364,.,4.533636364,19.25,.,28800,12530.19,28800,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,.,8,8,1,8,154,0,154,0,9958.71,.,.,18841.29,698.18,.,698.18,9958.71,2355.16125,1244.83875,28800,12530.19,28800,28800,12530.19,28800,3600,3600,3600,3600,3169.69,925.26,0,0,0,0,6,0,.,.,.,.,2.576666667,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,2,3,51.48,4.11,.,.,.,13.91,.,0,0,.,100,0,0,0,0,
Trial19_Ch7,Spring,Adult,534.24,3,0,2490.36,629.85,2428.03,41.11,0,614.93,4.601,.,4.601,10.83333333,.,6163.17,5628.93,2428.03,0,0,.,9,6,7,0,0,7,4,1099.82,2.433386601,56.99,56.99,60.86562172,14086.13,342.77,194.96,342.77,0,14086.13,13743.36,48.96714286,1963.337143,12,19,6,13,130,0,130,0,8905.19,.,14713.87,5808.68,598.13,.,598.13,22991.32,446.8215385,468.6942105,6220.16,5685.92,2485.02,6220.16,5685.92,2485.02,575.35,39.58,0,0,0,0,31,44,2,0,2,22,4.844516129,4.902954545,4.295,.,4.08,4.504090909,.,.,.,.,.,.,.,.,.,.,.,.,2,2,1,1,1,1,656.87,259.07,.,.,.,2807.18,.,9055.36,187.78,.,38.73283483,1.490866988,59.77629819,0,0,57.14285714
Trial19_Ch8,Spring,Adult,19.71,5,0,674.74,3022.63,2817.34,75.53,0,223.99,4.796423841,.,4.796423841,30.2,.,7676.84,7657.13,2817.34,0,0,.,0,0,1,0,0,1,1,21123.16,0.261703268,55.28,55.28,100,21123.16,55.28,55.28,55.28,0,21123.16,21067.88,55.28,21067.88,5,5,1,5,151,0,151,0,7452.85,.,7676.84,223.99,724.26,.,724.26,28576.01,44.798,1490.57,7732.12,7712.41,2872.62,7732.12,7712.41,2872.62,95.24,128.75,0,0,0,0,65,71,15,0,0,0,4.665846154,4.880704225,4.963333333,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,4,1,1,1,1,13.37,74.82,.,.,.,21149.62,.,21067.88,0,.,26.08079294,0.19344898,73.72575807,0,0,100
Trial20_Ch7,Spring,Adult,466.81,9,0,352.4,1410.27,3882.18,17.85,0,5142.59,5.253913043,.,5.253913043,20.44444444,.,27963.37,27496.56,3882.18,4,3658.01,914.5025,0,0,1,0,0,1,1,836.63,13.45636661,112.58,112.58,100,836.63,112.58,112.58,112.58,0,836.63,724.05,112.58,724.05,9,13,2,9,184,0,184,0,19162.77,.,27963.37,5142.59,966.72,.,966.72,23657.41,571.3988889,1474.059231,28075.95,27609.14,3994.76,28075.95,27609.14,3994.76,614.28,710.52,0,0,0,1336.6,13,25,27,33,13,32,3.723076923,5.8792,6.175555556,5.606666667,5.034615385,5.1825,.,.,.,.,.,.,.,.,.,.,.,.,6,2,1,1,1,2,472.39,534.85,.,.,.,865.33,.,724.05,0,.,81.00113241,0.475876269,3.060563265,0,15.46242805,100
Trial21_Ch6,Spring,Larvae,2087.1,2,0,32.12,3632.66,1044.36,10469.41,0,12556.51,4.259277108,.,4.259277108,20.75,.,15771.28,13684.18,3182.65,1,268.04,268.04,6,1,4,0,2,2,2,196.01,14.69346148,97.75,97.75,35.31980563,2884.14,423.78,194.57,194.57,229.21,2654.93,2460.36,105.945,1230.18,8,13,2,8,166,0,166,0,12793.69,.,25915.86,12854.13,707.04,.,707.04,15945.87,1606.76625,984.13,21834.05,19746.95,1142.11,21834.05,19746.95,1142.11,3567.88,3600,3600,1788.63,128.93,71.61,1,0,0,29,42,22,4.96,.,.,5.01,4.282857143,4.555,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,1,3,3,17.86,9.3,.,.,.,42.29,.,1610.65,9.51,.,80.23199738,2.657616047,15.42944976,0,1.680936819,100
Trial27_Ch1,Summer,Control,23.45,11,0,28.95,51.36,961.94,124.23,0,8614.14,5.56208589,.,5.56208589,5.09375,.,13845.44,13821.99,2019.77,0,0,.,21,9,5,0,4,1,0,120.51,67.27942602,0,337.97,4.556619385,1289.25,867.4,0,337.97,529.43,759.82,421.85,173.48,421.85,32,36,15,32,163,0,163,0,21345.52,.,27510.75,9746.86,906.62,.,906.62,19053.14,304.589375,592.9311111,28800,28776.55,0,19542.04,19518.59,3159.78,1735.71,3600,3090.02,188.41,224.91,130.02,10,0,4,31,28,41,7.202,.,5.8375,5.62516129,5.690714286,5.436341463,.,.,.,.,.,.,.,.,.,.,.,.,7,0,1,4,5,3,16.02,6.81,.,.,.,120.74,.,421.85,0,.,112.0315077,4.552530449,2.214070752,0,0,0
Trial28_Ch2,Summer,Adult,191.6,28,0,49.75,164.77,849.93,66.39,0,2110.03,4.729765625,.,4.729765625,4.740740741,.,10399.35,10207.75,1354.6,1,418.32,418.32,26,15,12,0,3,8,3,613.57,11.58394031,33.57,54.78,29.27225583,6073.84,703.59,136.07,461.07,182.69,5831.32,5370.25,58.6325,671.28125,54,66,32,54,256,0,256,0,18145.34,.,22726.16,4162.5,1210.82,.,1210.82,24637.5,77.08333333,274.9293939,11155.04,10963.44,2110.29,10454.13,10262.53,1409.38,707.12,1059.08,343.83,332.49,0,274.72,33,33,41,26,10,52,4.653030303,4.401515152,4.183902439,4.229615385,4.163,4.151730769,.,.,.,.,.,.,.,.,.,.,.,.,7,14,9,4,1,4,43.43,2.44,.,.,.,86.22,.,2593.13,108.86,.,73.64927448,2.855768645,21.79705733,0,1.697899543,37.5
Trial29_Ch2,Summer,Larvae,82.63,6,0,2019.55,463.36,1001.84,134.9,0,441.04,4.460395137,.,4.460395137,8.225,.,4332.6,4249.97,1001.84,0,0,.,34,13,6,0,1,5,0,89.55,94.84802477,0,103.45,0.24329306,994.57,943.33,0,853.78,89.55,905.02,51.24,157.2216667,10.248,40,46,15,41,329,0,329,0,24520.85,.,27805.43,3284.58,1467.47,.,1467.47,25515.42,80.11170732,533.0619565,28800,28717.37,28800,7738.98,7656.35,1190.84,441.04,330.7,239.67,410.36,163.44,33.08,29,44,59,35,48,54,4.490344828,4.597045455,4.227288136,4.334571429,4.915833333,4.330555556,.,.,.,.,.,.,.,.,.,.,.,.,6,8,5,9,5,2,6.78,68.96,.,.,.,1104.65,.,32.54,0,.,96.10208258,3.697097677,0.20081974,0,0,0
Trial30_Ch1,Summer,Larvae,1.01,30,0,401.05,24.45,1383.95,49.59,0,878.53,4.620836364,.,4.620836364,3.197674419,.,7039.95,7038.94,1383.95,0,0,.,56,37,2,0,0,2,1,2093.77,4.15927005,63.91,63.91,9.779481511,2213.85,92.08,63.91,92.08,0,2213.85,2121.77,46.04,1060.885,86,88,58,86,275,0,275,0,23258.99,.,26586.15,3327.16,1270.73,.,1270.73,25472.84,38.68790698,264.3067045,7103.86,7102.85,1447.86,7103.86,7102.85,1447.86,420.72,457.81,251.68,526.72,210.4,469.85,45,35,20,15,53,34,4.908,4.657428571,4.629,4.422666667,4.669245283,4.527352941,.,.,.,.,.,.,.,.,.,.,.,.,14,16,7,11,5,12,28.96,366.29,.,.,.,25.28,.,2029.86,58.73,.,91.3089785,0.361483054,8.329538442,0,0,50
Trial30_Ch3,Summer,Control,14.71,6,0,1380.41,271.3,4474.35,120.04,0,425.87,4.663949045,.,4.663949045,6.541666667,.,6773.06,6758.35,4474.35,0,0,.,18,5,1,0,0,1,1,2355.27,3.26077265,76.8,76.8,10.38020714,2355.27,76.8,76.8,76.8,0,2355.27,2278.47,76.8,2278.47,24,25,8,25,157,0,157,0,15677.22,.,26444.73,10767.51,732.24,.,732.24,18032.49,430.7004,627.0888,6849.86,6835.15,4551.15,6849.86,6835.15,4551.15,425.87,0,37.55,596.08,546.44,1961.57,37,51,28,23,18,0,4.772702703,4.558039216,4.791071429,4.373478261,4.913888889,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1,1,9,8,3,916.73,124.86,.,.,.,11071.29,.,2278.47,70.46,.,86.93874224,0.425897921,12.63535984,0,0,100
Trial31_Ch1,Summer,Control,2207.92,0,0,1374.49,18286.6,,4067.02,0,6503.06,4.617337662,.,4.617337662,25.66666667,.,28800,26592.08,28800,3,4554.14,1518.046667,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,.,6,8,1,6,154,0,154,0,22547.75,.,.,6503.06,711.07,.,711.07,22296.94,1083.843333,2818.46875,28800,26592.08,28800,28800,26592.08,28800,2225.51,3600,449.43,0,0,0,10,0,38,10,7,29,6.245,.,4.618684211,5.02,4.838571429,4.451724138,.,.,.,.,.,.,.,.,.,.,.,.,1,0,1,1,1,1,17.27,34.36,.,.,.,19.94,.,0,0,.,101.1248629,0,0,0,20.42495517,
Trial32_Ch2,Summer,Control,45.42,8,0,945.31,0.91,2456.83,7.7,0,7465.87,5.764379085,.,5.764379085,15.3,.,13587.71,13542.29,2456.83,0,0,.,2,1,4,0,1,3,3,1866.68,1.539268042,63.29,63.29,66.33051687,10205.5,157.09,122.26,122.26,34.83,10170.67,10048.41,39.2725,3349.47,10,14,5,10,153,0,153,0,10926.32,.,18594.5,7668.18,881.95,.,881.95,21131.82,766.818,780.4514286,13651,13605.58,2520.12,13651,13605.58,2520.12,2653.78,3600,1146.77,65.32,0,0,19,0,16,53,35,14,6.11,.,5.525,5.475660377,6.011714286,5.557857143,.,.,.,.,.,.,.,.,.,.,.,.,2,0,4,3,1,1,30.43,13.35,.,.,.,252.69,.,6980.95,154.85,.,51.70553223,0.743381308,47.55108647,0,0,100
Trial32_ch3,Summer,Control,3.61,3,0,505.89,454.54,2837.31,11.34,0,20.24,4.902580645,.,4.902580645,20.66666667,.,3817.98,3814.37,2837.31,0,0,.,0,0,2,0,0,2,2,3090.64,0.394430612,49,49,98.35627614,24620.3,97.11,97.11,97.11,0,24620.3,24523.19,48.555,12261.595,3,4,0,3,62,0,62,0,4159.46,.,4179.7,20.24,303.96,.,303.96,28779.76,6.746666667,1039.865,3866.98,3863.37,2886.31,3866.98,3863.37,2886.31,20.24,0,0,0,0,0,51,10,1,0,0,0,4.916666667,4.907,4.14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,1,1,1,1,14.86,7.07,.,.,.,21562.07,.,21481.55,0,.,14.4527265,0.337424635,85.20984887,0,0,100
Trial32_ch4,Summer,Control,82,3,0,1348.56,24.98,630.04,27.31,0,120.34,4.67375,.,4.67375,9.882352941,.,2336.54,2254.54,842.66,0,0,.,14,6,6,0,1,4,2,182.53,12.35422775,101.24,81.99,14.09603028,4242.92,524.18,165.55,406.77,46.46,4125.51,3718.74,87.36333333,929.685,17,22,7,18,168,0,168,0,16794.93,.,24557.08,7762.15,785.19,.,785.19,21037.85,431.2305556,763.4059091,13562.35,13480.35,2329.75,2418.53,2336.53,924.65,230.38,190.7,0,154.02,0,2440.96,33,15,41,31,28,16,5.17,4.580666667,4.644634146,4.375806452,4.713928571,4.39625,.,.,.,.,.,.,.,.,.,.,.,.,6,5,1,6,1,2,93.99,350.12,.,.,.,3629.99,.,1639.32,295.7,.,79.83196952,2.491604418,17.67642606,0,0,50
Trial32_ch6,Summer,Control,104.98,1,0,2991.12,1592.87,1159.76,1227.87,0,104.98,4.729071207,.,4.729071207,14.68181818,.,1440.71,1335.73,1335.73,0,0,.,21,6,8,0,1,7,1,120.15,23.44084816,55.06,84.44,8.684415708,3033.38,711.05,55.06,590.9,120.15,2913.23,2322.33,88.88125,331.7614286,22,30,6,22,323,0,323,0,22709.08,.,25766.62,3057.54,1527.49,.,1527.49,25742.46,138.9790909,756.9693333,8389.61,8284.63,1214.82,2058.65,1953.67,1953.67,608.88,1119.77,0,233.22,133.75,87.9,26,21,44,52,58,47,4.848076923,7.972857143,4.779545455,4.588269231,4.499310345,4.774893617,.,.,.,.,.,.,.,.,.,.,.,.,1,4,1,4,3,2,317.53,424.33,.,.,.,29.63,.,630.85,68.43,.,88.21643308,2.762168029,9.021398887,0,0,14.28571429
Trial33_ch2,Summer,Adult,0.88,15,0,3291.7,655.06,936.55,36.51,0,3170.73,4.533161094,.,4.533161094,7.311111111,.,12277.57,12276.69,2130.41,0,0,.,30,21,4,0,2,2,0,259.31,31.83551323,0,82.53,51.56353166,1523.77,485.1,0,157.08,328.02,1195.75,1038.67,121.275,519.335,45,48,28,45,329,0,329,0,20467.79,.,27276.23,6808.44,1491.41,.,1491.41,21991.56,151.2986667,426.4122917,28800,28799.12,28800,26785.65,26784.77,1019.08,37.39,1607.85,1525.49,0,1388.2,1037.97,10,38,34,64,37,52,5.197,4.284210526,4.694117647,4.56734375,4.41972973,4.447307692,.,.,.,.,.,.,.,.,.,.,.,.,2,6,8,1,9,10,8.25,72.4,.,.,.,48.47,.,572.46,0,.,93.07111455,2.205846243,4.723039202,0,0,0
Trial33_ch3,Summer,Larvae,1350.5,7,0,3045.37,148.19,895.66,40.98,0,1671.77,4.48570922,.,4.48570922,8.545454545,.,7461.87,6111.37,1089.09,1,127.79,127.79,26,10,7,0,4,3,0,161.53,79.26225663,0,47.24,0.845048478,852.6,675.79,0,145.34,530.45,322.15,176.81,96.54142857,58.93666667,33,41,13,33,282,0,282,0,24304.1,.,27947.4,3515.51,1264.97,.,1264.97,25284.49,106.5306061,592.7829268,28800,27449.5,28800,7876.94,6526.44,1504.16,1350.5,321.27,269.4,370.04,488.62,364.23,9,27,53,39,16,47,4.914444444,4.15962963,4.728113208,4.780263158,4.719375,4.433191489,.,.,.,.,.,.,.,.,.,.,.,.,1,7,4,6,6,6,6.5,1050.01,.,.,.,206.9,.,78.65,0,.,96.12256367,2.672745228,0.699282445,0,0.505408652,0
Trial33_ch6,Summer,Larvae,433.52,4,0,77.74,1549.88,579.72,293.81,0,772.19,4.929463277,.,4.929463277,16.09090909,.,4440.82,4007.3,2005.81,0,0,.,18,4,7,0,3,4,0,110.25,54.35332866,0,46.63,2.462596478,1311.64,712.92,0,363.72,349.2,962.44,598.72,101.8457143,149.68,22,29,6,22,354,0,354,0,20396.32,.,27488.36,7092.04,1745.03,.,1745.03,21707.96,322.3654545,703.3213793,28800,28366.48,28800,4487.45,4053.93,2052.44,772.19,0,1521.96,591.25,242.91,2675.68,28,59,45,42,54,20,5.586785714,4.938644068,4.868888889,5.100714286,4.757037037,4.7805,.,.,.,.,.,.,.,.,.,.,.,.,4,1,3,5,3,4,25.45,46.34,.,.,.,10.59,.,243.98,0,.,93.95779244,3.284140933,2.758066626,0,0,0
Trial33_ch8,Summer,Larvae,12.05,21,0,316,185.68,891.89,55.52,0,2652.88,4.57556701,.,4.57556701,8.818181818,.,13377.85,13365.8,891.89,0,0,.,23,10,6,0,3,3,0,191.68,47.77912137,0,63.98,7.260514135,1604.32,766.53,0,182.4,584.13,1020.19,837.79,127.755,279.2633333,44,49,19,44,388,0,388,1,21369.83,.,27195.68,5906.21,1775.32,.,1775.32,22893.79,134.2320455,436.1189796,28800,28787.95,28800,17261.01,17248.96,2432.75,875.96,25.84,1252.49,514.42,111.71,1498.1,20,94,16,64,66,36,4.902,4.426489362,4.920625,4.62328125,4.246666667,5.252222222,.,.,.,.,.,.,.,.,.,.,.,.,8,1,10,4,2,7,390.19,141.34,.,.,.,39.43,.,566.11,0,.,93.34334769,3.348200538,3.659463986,0,0,0
Trial34_Ch3,Summer,Adult,6.06,4,0,609.14,116.5,714.27,3626.64,0,3784.88,4.656761905,.,4.656761905,12.35294118,.,5455.91,5449.85,714.27,1,542.06,542.06,13,6,8,0,4,4,2,73.33,12.01201865,56.28,140.69,19.8966305,4978.93,598.07,124.56,325.79,272.28,4706.65,4380.86,74.75875,1095.215,17,25,7,17,210,0,210,0,12745.98,.,23821.07,10533.03,977.92,.,977.92,18266.97,619.59,509.8392,23651.85,23645.79,3192.25,6781.9,6775.84,2040.26,2990.86,794.02,3068.88,3035.49,320.94,322.84,8,56,11,12,36,47,5.5525,4.689285714,4.708181818,4.5,4.526666667,4.694042553,.,.,.,.,.,.,.,.,.,.,.,.,1,3,3,2,4,7,12.15,45.32,.,.,.,581.07,.,2369.4,0,.,69.77610408,3.274051471,23.98241197,0,2.967432475,50
Trial34_Ch4,Summer,Larvae,27.45,16,0,1344.29,194.12,1317.7,2340.39,0,3731.03,4.736717172,.,4.736717172,6.6,.,10478.12,10450.67,1317.7,0,0,.,14,7,4,0,3,1,0,221.04,97.78038908,0,436.26,4.09557809,842.49,823.79,0,436.26,387.53,454.96,18.7,205.9475,18.7,30,34,15,30,198,0,198,0,16573.6,.,27957.51,11383.91,937.87,.,937.87,17416.09,379.4636667,487.4588235,28800,28772.55,28800,28343.41,28315.96,4317.57,2255.71,647.38,827.94,618.85,2905.9,2654.61,5,21,38,39,2,12,4.644,4.636666667,4.660263158,4.686153846,5.015,4.9875,.,.,.,.,.,.,.,.,.,.,.,.,1,6,10,4,1,7,18.18,880.23,.,.,.,160.91,.,18.7,0,.,95.16257667,4.730051349,0.107371976,0,0,0
Trial34_Ch6,Summer,Adult,9067.9,9,0,13.58,10.84,822.96,26.5,0,9671.3,4.69798995,.,4.69798995,8.291666667,.,15638.49,6570.59,2835.57,1,1986.89,1986.89,15,8,5,0,4,1,1,99.34,72.45864367,143.7,143.7,100,2471.81,1791.04,143.7,143.7,1647.34,824.47,680.77,358.208,680.77,24,29,12,24,199,0,199,0,13342.18,.,26328.19,10999.12,934.9,.,934.9,17800.88,458.2966667,460.0751724,28119.23,19051.33,3498.21,28119.23,19051.33,3498.21,3600,3600,2138.94,332.36,270.67,1008.09,0,0,9,37,58,33,.,.,5.213333333,4.445405405,4.881206897,4.838484848,.,.,.,.,.,.,.,.,.,.,.,.,0,0,6,4,5,11,131.5,33.78,.,.,.,850.67,.,680.77,0,.,74.95236191,10.06152505,3.824361492,0,11.16175155,100
Trial34_Ch7,Summer,Larvae,0.62,0,0,143.5,4096.48,1453.7,6723.73,0,6724.35,4.505348837,.,4.505348837,6.142857143,.,9835.11,9834.49,2967.14,0,0,.,42,27,6,0,1,5,3,455.16,10.12637893,36.64,227.96,24.4842138,5104.49,516.9,129.1,410.07,106.83,4997.66,4587.59,86.15,917.518,42,46,28,45,258,0,258,0,15482.75,.,23695.51,0,1162.38,.,1162.38,20587.24,.,336.5815217,13764.6,13763.98,1978.49,10063.07,10062.45,3195.1,3456.38,3267.97,0,264.81,0,784.73,3,1,55,57,20,35,4.636666667,4.39,4.722727273,4.396666667,5.0845,4.501470588,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,6,1,12,34.25,46.14,.,.,.,482.14,.,2625.95,49.96,.,75.20556422,2.510778521,22.28365726,0,0,60
Trial35_Ch6,Summer,Larvae,5.43,3,0,526.94,144.2,227.08,60.66,0,551.69,4.570038314,.,4.570038314,13.05,.,2076.06,2070.63,853.23,1,3484.41,3484.41,17,10,3,0,1,2,0,326.23,98.7811862,0,319.74,0.037077435,803.24,793.45,0,399.88,393.57,409.67,9.79,264.4833333,4.895,20,24,11,20,261,0,261,0,11946.44,.,27996.76,12565.91,1192.78,.,1192.78,16234.09,628.2955,497.7683333,28800,28794.57,28800,2395.8,2390.37,1172.97,1093.16,3600,3156.48,2629.54,245.68,0,40,0,6,20,75,17,4.9985,.,5.101666667,4.17,4.424533333,4.181875,.,.,.,.,.,.,.,.,.,.,.,.,3,0,1,7,2,1,44.6,102.02,.,.,.,0.26,.,6.49,0,.,73.58860275,4.887554523,0.060305197,0,21.46353753,0
Trial35_Ch7,Summer,Adult,0.21,14,0,328.77,24.53,497.86,53.86,0,1318.72,4.0056691,.,4.0056691,7.339285714,.,11579.86,11579.65,894.94,0,0,.,42,32,4,0,2,2,1,96.86,24.38162776,66.19,87.18,31.23521817,1522.95,371.32,66.19,153.37,217.95,1305,1151.63,92.83,575.815,56,60,39,57,411,0,411,0,23393.52,.,27277.05,3883.53,1646.33,.,1646.33,24916.47,68.13210526,389.892,27076.22,27076.01,3388.01,25113.04,25112.83,1424.83,191.57,875.27,251.88,595.78,506.53,897.42,27,37,25,62,78,55,3.605925926,3.997567568,4.082,3.93,3.876538462,3.835818182,.,.,.,.,.,.,.,.,.,.,.,.,4,7,5,9,11,16,36.23,28.84,.,.,.,30.93,.,782.71,71.02,.,93.88777784,1.490259254,4.621962902,0,0,50
Test_Ch3,Summer,Control,30.91,1,0,3114.74,63.08,1382.67,46.1,0,30.91,4.740128755,.,4.740128755,4.396226415,.,2308.68,2277.77,2277.77,0,0,.,52,25,3,0,1,2,2,639.6,4.876088784,34.08,34.08,11.67740853,3247.89,158.37,85.07,85.07,73.3,3174.59,3089.52,52.79,1544.76,53,55,25,53,233,0,233,0,20858.98,.,25552.11,4693.13,1104.45,.,1104.45,24106.87,88.54962264,379.2541818,2342.76,2311.85,2311.85,2342.76,2311.85,2311.85,118.95,666.2,584.78,150.19,534.69,1279.48,52,20,25,55,20,15,4.715769231,4.7,4.3024,5.252727273,4.26,4.632,.,.,.,.,.,.,.,.,.,.,.,.,3,11,10,2,12,10,9.68,58.25,.,.,.,2564.3,.,2484,46.1,.,86.52711862,0.656949658,12.81593172,0,0,100
Test_Ch4,Summer,Control,233.46,14,0,49.68,1369.01,1714.01,39.14,0,10435.61,4.576272189,.,4.576272189,10.5625,.,18911.09,18677.63,1714.01,0,0,.,2,0,3,0,1,2,1,694.56,7.500738759,78.46,242.1,73.98207283,7715.64,578.73,78.46,320.56,258.17,7457.47,7136.91,192.91,3568.455,16,19,6,16,169,0,169,0,10425.33,.,21084.36,10659.03,773.39,.,773.39,18140.97,666.189375,548.7015789,19763.5,19530.04,2566.42,19153.19,18919.73,1956.11,2181.31,3600,3589.34,805.03,259.93,0,17,0,0,40,44,23,3.998823529,.,.,4.84825,4.56,5.329130435,.,.,.,.,.,.,.,.,.,.,.,.,2,0,1,8,5,1,9.9,26.63,.,.,.,10.2,.,6684.45,139.7,.,57.46842644,3.190182223,39.34139134,0,0,0
